unique_review_id,product_link_id,review_id,type,id,ugc_id,legacy_id,internal_review_id,headline,nickname,created_date,updated_date,rating,helpful_votes,not_helpful_votes,uri,comments,locale,location,bottom_line,product_page_id,upc,gtin,is_staff_reviewer,is_verified_buyer,is_verified_reviewer,helpful_score,unmatched_reason
1066,4,510833874,image,510833828.0,,,-1,Not the same as before,JenJen312,2024-04-08 15:20:21-04,1970-01-01 00:00:00-05,1,0,0,"//res.cloudinary.com/powerreviews/image/upload/f_auto,q_auto,h_768,w_auto/d_portal-no-product-image_ttlfpi.svg/prod/vxf8rlw7cygnaxpggrgn.jpg",,,,,,,,f,f,f,-1,product_link_id_not_in_products
1067,4,486405405,image,486405457.0,,,-1,Buy! You won't regret it!,Sabrina,2024-01-02 19:37:50-05,1970-01-01 00:00:00-05,5,0,0,"//res.cloudinary.com/powerreviews/image/upload/f_auto,q_auto,h_768,w_auto/d_portal-no-product-image_ttlfpi.svg/prod/bxemnzntbdwd9e0mawnd.jpg",,,,,,,,f,f,f,-1,product_link_id_not_in_products
1068,4,486405405,image,486405433.0,,,-1,Buy! You won't regret it!,Sabrina,2024-01-02 19:37:50-05,1970-01-01 00:00:00-05,5,0,0,"//res.cloudinary.com/powerreviews/image/upload/f_auto,q_auto,h_768,w_auto/d_portal-no-product-image_ttlfpi.svg/prod/rqmavhxhudl4jubdropw.jpg",,,,,,,,f,f,f,-1,product_link_id_not_in_products
1069,4,486350915,image,486350971.0,,,-1,Absolutely obsessed with this product!,Tina75,2024-01-02 14:27:13-05,1970-01-01 00:00:00-05,5,0,0,"//res.cloudinary.com/powerreviews/image/upload/f_auto,q_auto,h_768,w_auto/d_portal-no-product-image_ttlfpi.svg/prod/sqakezvlwbv6dkejx2l1.jpg",,,,,,,,f,f,f,-1,product_link_id_not_in_products
1070,4,486199522,image,486199478.0,,,-1,ORIGINAL LOOSE POWDER FOUNDATION SPF 15,K. B.,2023-12-31 18:45:04-05,1970-01-01 00:00:00-05,5,0,0,"//res.cloudinary.com/powerreviews/image/upload/f_auto,q_auto,h_768,w_auto/d_portal-no-product-image_ttlfpi.svg/prod/ldem4fjz8nipogubkasv.jpg",,,,,,,,f,f,f,-1,product_link_id_not_in_products
1071,4,486199522,image,486199523.0,,,-1,ORIGINAL LOOSE POWDER FOUNDATION SPF 15,K. B.,2023-12-31 18:45:04-05,1970-01-01 00:00:00-05,5,0,0,"//res.cloudinary.com/powerreviews/image/upload/f_auto,q_auto,h_768,w_auto/d_portal-no-product-image_ttlfpi.svg/prod/krsonv1qmjxm4kv21wvt.jpg",,,,,,,,f,f,f,-1,product_link_id_not_in_products
1072,4,486199522,image,486199532.0,,,-1,ORIGINAL LOOSE POWDER FOUNDATION SPF 15,K. B.,2023-12-31 18:45:04-05,1970-01-01 00:00:00-05,5,0,0,"//res.cloudinary.com/powerreviews/image/upload/f_auto,q_auto,h_768,w_auto/d_portal-no-product-image_ttlfpi.svg/prod/wu0d4phju8vjasnpep3b.jpg",,,,,,,,f,f,f,-1,product_link_id_not_in_products
1073,4,486012732,image,486012733.0,,,-1,A Must-Have for Oily Skin,Syd,2023-12-28 20:09:02-05,1970-01-01 00:00:00-05,5,0,0,"//res.cloudinary.com/powerreviews/image/upload/f_auto,q_auto,h_768,w_auto/d_portal-no-product-image_ttlfpi.svg/prod/ewrnnhb2p38a1buler47.jpg",,,,,,,,f,f,f,-1,product_link_id_not_in_products
1074,4,486012732,video,486012750.0,,,-1,A Must-Have for Oily Skin,Syd,2023-12-28 20:09:02-05,1970-01-01 00:00:00-05,5,0,0,//res.cloudinary.com/powerreviews/video/upload/v1703812086/prod/wifhpgz0shdywt5vk1gg.mp4,,,,,,,,f,f,f,-1,product_link_id_not_in_products
1075,4,485793106,image,485793107.0,,,-1,Nice and matte!,Aman,2023-12-24 21:08:08-05,1970-01-01 00:00:00-05,4,0,0,"//res.cloudinary.com/powerreviews/image/upload/f_auto,q_auto,h_768,w_auto/d_portal-no-product-image_ttlfpi.svg/prod/zmkvytdnqyajczvus1aw.jpg",,,,,,,,f,f,f,-1,product_link_id_not_in_products
1076,4,485742962,image,485742669.0,,,-1,Feels great!,Emilia,2023-12-23 20:00:34-05,1970-01-01 00:00:00-05,5,0,0,"//res.cloudinary.com/powerreviews/image/upload/f_auto,q_auto,h_768,w_auto/d_portal-no-product-image_ttlfpi.svg/prod/m5mdca5gu2lwjryxwcza.jpg",,,,,,,,f,f,f,-1,product_link_id_not_in_products
1077,4,485734711,image,485734730.0,,,-1,Not very pigmented,Cavy,2023-12-23 15:28:22-05,1970-01-01 00:00:00-05,3,0,0,"//res.cloudinary.com/powerreviews/image/upload/f_auto,q_auto,h_768,w_auto/d_portal-no-product-image_ttlfpi.svg/prod/wbordlzxlpieg7affpe8.jpg",,,,,,,,f,f,f,-1,product_link_id_not_in_products
1078,4,485661805,image,485661980.0,,,-1,Staple in my routine,Kalee,2023-12-22 13:10:37-05,1970-01-01 00:00:00-05,4,0,0,"//res.cloudinary.com/powerreviews/image/upload/f_auto,q_auto,h_768,w_auto/d_portal-no-product-image_ttlfpi.svg/prod/ghqdkrgsnafjlv3wgelo.jpg",,,,,,,,f,f,f,-1,product_link_id_not_in_products
1079,4,485570695,image,485571273.0,,,-1,porcelain leather finish,Blanky88,2023-12-21 16:42:28-05,1970-01-01 00:00:00-05,5,0,0,"//res.cloudinary.com/powerreviews/image/upload/f_auto,q_auto,h_768,w_auto/d_portal-no-product-image_ttlfpi.svg/prod/dmq8ksvfuixedvli2gbq.jpg",,,,,,,,f,f,f,-1,product_link_id_not_in_products
1080,4,485307412,image,485307193.0,,,-1,I love it!,Jazmin92,2023-12-19 13:50:19-05,1970-01-01 00:00:00-05,5,0,0,"//res.cloudinary.com/powerreviews/image/upload/f_auto,q_auto,h_768,w_auto/d_portal-no-product-image_ttlfpi.svg/prod/u1tlwfg7usf3ezc9ace6.jpg",,,,,,,,f,f,f,-1,product_link_id_not_in_products
1081,4,485307412,image,485307397.0,,,-1,I love it!,Jazmin92,2023-12-19 13:50:19-05,1970-01-01 00:00:00-05,5,0,0,"//res.cloudinary.com/powerreviews/image/upload/f_auto,q_auto,h_768,w_auto/d_portal-no-product-image_ttlfpi.svg/prod/cvrjyqs6s1wkwo5c6bez.jpg",,,,,,,,f,f,f,-1,product_link_id_not_in_products
1082,4,485307412,image,485307325.0,,,-1,I love it!,Jazmin92,2023-12-19 13:50:19-05,1970-01-01 00:00:00-05,5,0,0,"//res.cloudinary.com/powerreviews/image/upload/f_auto,q_auto,h_768,w_auto/d_portal-no-product-image_ttlfpi.svg/prod/lrkwbobh7cniffgwihrc.jpg",,,,,,,,f,f,f,-1,product_link_id_not_in_products
1083,4,485243702,image,485243608.0,,,-1,I love it,Claudiach1409,2023-12-18 19:34:45-05,1970-01-01 00:00:00-05,5,0,0,"//res.cloudinary.com/powerreviews/image/upload/f_auto,q_auto,h_768,w_auto/d_portal-no-product-image_ttlfpi.svg/prod/xzmwhy11hsivdung2e8n.jpg",,,,,,,,f,f,f,-1,product_link_id_not_in_products
